,type,itemLabel,typeLabel,item,url
126,Q2393196,persistence,personality trait,Q368671,https://europepmc.org/article/MED/29206104
127,Q84467700,morphogen,group or class of proteins,Q417084,https://europepmc.org/article/MED/29206104
128,Q47154513,lipopolysaccharide,structural class of chemical compounds,Q421804,https://europepmc.org/article/MED/29206104
129,,situation awareness,,Q478123,https://europepmc.org/article/MED/29206104
130,,laboratory,,Q483242,https://europepmc.org/article/MED/29206104
131,,phenomenon,,Q483247,https://europepmc.org/article/MED/29206104
132,,sample,,Q485146,https://europepmc.org/article/MED/29206104
133,,polymorphism,,Q485680,https://europepmc.org/article/MED/29206104
134,,human brain,,Q492038,https://europepmc.org/article/MED/29206104
135,Q189118,dendritic cell,cell type,Q506253,https://europepmc.org/article/MED/29206104
136,,simplicity,,Q508291,https://europepmc.org/article/MED/29206104
137,Q26493055,prognosis,prognosis,Q592442,https://europepmc.org/article/MED/29206104
138,Q52193405,prognosis,medical term,Q592442,https://europepmc.org/article/MED/29206104
139,Q1620186,neocortex,brain region,Q726562,https://europepmc.org/article/MED/29206104
140,,prediction,,Q748250,https://europepmc.org/article/MED/29206104
141,,Genetic distance,,Q748695,https://europepmc.org/article/MED/29206104
142,Q189118,T helper 17 cell,cell type,Q768227,https://europepmc.org/article/MED/29206104
143,,requirement,,Q774228,https://europepmc.org/article/MED/29206104
144,Q189118,megakaryocyte,cell type,Q821701,https://europepmc.org/article/MED/29206104
145,Q47103999,statistical dispersion,type of statistic,Q845777,https://europepmc.org/article/MED/29206104
146,,biomarker,,Q864574,https://europepmc.org/article/MED/29206104
147,Q189118,retina bipolar cells,cell type,Q864951,https://europepmc.org/article/MED/29206104
148,,demarcation line,,Q903658,https://europepmc.org/article/MED/29206104
149,,concentration gradient,,Q909588,https://europepmc.org/article/MED/29206104
150,,relation,,Q930933,https://europepmc.org/article/MED/29206104
151,Q714737,property,category of being,Q937228,https://europepmc.org/article/MED/29206104
152,Q19478619,property,metaclass,Q937228,https://europepmc.org/article/MED/29206104
153,,basic research,,Q964754,https://europepmc.org/article/MED/29206104
154,Q5962346,specialty,classification system,Q1047113,https://europepmc.org/article/MED/29206104
155,Q24017414,specialty,second-order class,Q1047113,https://europepmc.org/article/MED/29206104
156,,histopathology,,Q1070952,https://europepmc.org/article/MED/29206104
157,,international,,Q1072012,https://europepmc.org/article/MED/29206104
158,Q2465832,Comparative genomics,branch of science,Q1147112,https://europepmc.org/article/MED/29206104
159,Q189118,embryonic stem cell,cell type,Q1151519,https://europepmc.org/article/MED/29206104
160,Q28598684,electrophysiology,branch of biology,Q1154774,https://europepmc.org/article/MED/29206104
161,,phase,,Q1188986,https://europepmc.org/article/MED/29206104
162,,pilot experiment,,Q1203526,https://europepmc.org/article/MED/29206104
163,Q33104279,quality,philosophical concept,Q1207505,https://europepmc.org/article/MED/29206104
164,Q96253971,quality,type of property,Q1207505,https://europepmc.org/article/MED/29206104
165,,social engagement,,Q1283504,https://europepmc.org/article/MED/29206104
166,,research project,,Q1298668,https://europepmc.org/article/MED/29206104
167,,cohort,,Q1303415,https://europepmc.org/article/MED/29206104
168,,component,,Q1310239,https://europepmc.org/article/MED/29206104
169,,final product,,Q1340858,https://europepmc.org/article/MED/29206104
170,,plan,,Q1371819,https://europepmc.org/article/MED/29206104
171,Q151885,new product development,concept,Q1395034,https://europepmc.org/article/MED/29206104
172,,ncRNA gene,,Q1412309,https://europepmc.org/article/MED/29206104
173,,fixation,,Q1422013,https://europepmc.org/article/MED/29206104
174,,promise,,Q1425577,https://europepmc.org/article/MED/29206104
175,,Stratified sampling,,Q1517706,https://europepmc.org/article/MED/29206104
176,Q130901,simultaneity,binary relation,Q1530412,https://europepmc.org/article/MED/29206104
177,Q33104279,simultaneity,philosophical concept,Q1530412,https://europepmc.org/article/MED/29206104
178,Q33104303,simultaneity,concept in physics,Q1530412,https://europepmc.org/article/MED/29206104
179,,resource,,Q1554231,https://europepmc.org/article/MED/29206104
180,Q103915493,brain region,localized structure class type,Q1620186,https://europepmc.org/article/MED/29206104
181,Q28640,researcher,profession,Q1650915,https://europepmc.org/article/MED/29206104
182,Q4164871,researcher,position,Q1650915,https://europepmc.org/article/MED/29206104
183,Q12737077,researcher,occupation,Q1650915,https://europepmc.org/article/MED/29206104
184,,use,,Q1724915,https://europepmc.org/article/MED/29206104
185,Q28640,cartographer,profession,Q1734662,https://europepmc.org/article/MED/29206104
186,Q12737077,cartographer,occupation,Q1734662,https://europepmc.org/article/MED/29206104
187,Q2305441,participation,social process,Q1773152,https://europepmc.org/article/MED/29206104
188,,tumor microenvironment,,Q1786433,https://europepmc.org/article/MED/29206104
189,,answer,,Q1920566,https://europepmc.org/article/MED/29206104
190,Q189118,myoblast,cell type,Q1956694,https://europepmc.org/article/MED/29206104
191,,Transient response,,Q1974593,https://europepmc.org/article/MED/29206104
192,,model,,Q1979154,https://europepmc.org/article/MED/29206104
193,,biological specimen,,Q2075980,https://europepmc.org/article/MED/29206104
194,,monitoring,,Q2143522,https://europepmc.org/article/MED/29206104
195,,spatial relation,,Q2178623,https://europepmc.org/article/MED/29206104
196,,Genome project,,Q2273828,https://europepmc.org/article/MED/29206104
197,Q1724915,sorting,use,Q2303697,https://europepmc.org/article/MED/29206104
198,,in situ hybridization,,Q2304142,https://europepmc.org/article/MED/29206104
199,,molecular marker,,Q2311855,https://europepmc.org/article/MED/29206104
200,,radioresistance,,Q2353022,https://europepmc.org/article/MED/29206104
201,Q2996394,cell death,biological process,Q2383867,https://europepmc.org/article/MED/29206104
202,,public,,Q2388316,https://europepmc.org/article/MED/29206104
203,Q28640,histologist,profession,Q2552072,https://europepmc.org/article/MED/29206104
204,,cyclic process,,Q2692606,https://europepmc.org/article/MED/29206104
205,,marker gene,,Q2776413,https://europepmc.org/article/MED/29206104
206,,weaving technique,,Q2862826,https://europepmc.org/article/MED/29206104
207,Q336,human physiology,science,Q2892439,https://europepmc.org/article/MED/29206104
208,,discussion,,Q3030248,https://europepmc.org/article/MED/29206104
209,,scientific progress,,Q3107378,https://europepmc.org/article/MED/29206104
210,,today,,Q3151690,https://europepmc.org/article/MED/29206104
211,Q1936384,dynamical systems theory,area of mathematics,Q3174497,https://europepmc.org/article/MED/29206104
212,Q2465832,dynamical systems theory,branch of science,Q3174497,https://europepmc.org/article/MED/29206104
213,,regulatory sequence,,Q3238407,https://europepmc.org/article/MED/29206104
214,Q189118,brain cell,cell type,Q3243699,https://europepmc.org/article/MED/29206104
215,,process,,Q3249551,https://europepmc.org/article/MED/29206104
216,,myogenesis,,Q3331437,https://europepmc.org/article/MED/29206104
217,,tissue and organ harvesting,,Q3536444,https://europepmc.org/article/MED/29206104
218,,Epigenome,,Q3589155,https://europepmc.org/article/MED/29206104
219,Q189118,cancer cell,cell type,Q4118072,https://europepmc.org/article/MED/29206104
220,,range,,Q4257161,https://europepmc.org/article/MED/29206104
221,Q14860133,Cell–cell interaction,cell communication,Q5058397,https://europepmc.org/article/MED/29206104
222,Q28640,computational scientist,profession,Q5157338,https://europepmc.org/article/MED/29206104
223,Q1207505,convenience,quality,Q5166129,https://europepmc.org/article/MED/29206104
224,,mainstream media,,Q5292797,https://europepmc.org/article/MED/29206104
225,,funding body,,Q5509032,https://europepmc.org/article/MED/29206104
226,,Genetic regulatory circuit,,Q5532916,https://europepmc.org/article/MED/29206104
227,Q23958852,classification system,variable-order class,Q5962346,https://europepmc.org/article/MED/29206104
228,Q904802,justice,cardinal virtues,Q6316865,https://europepmc.org/article/MED/29206104
229,Q1512368,justice,indefinite legal concept,Q6316865,https://europepmc.org/article/MED/29206104
230,,benefits,,Q6593860,https://europepmc.org/article/MED/29206104
231,,research center,,Q7315155,https://europepmc.org/article/MED/29206104
232,Q3516847,nucleic acid hybridization,laboratory procedure,Q8223839,https://europepmc.org/article/MED/29206104
233,Q3516872,nucleic acid hybridization,molecular biology technique,Q8223839,https://europepmc.org/article/MED/29206104
234,,organoid,,Q11293125,https://europepmc.org/article/MED/29206104
235,,archival material,,Q11771331,https://europepmc.org/article/MED/29206104
236,,list,,Q12139612,https://europepmc.org/article/MED/29206104
237,,statistical method,,Q12718609,https://europepmc.org/article/MED/29206104
238,Q33104279,choice,philosophical concept,Q12888920,https://europepmc.org/article/MED/29206104
239,Q65943,reductio ad absurdum,theorem,Q14402006,https://europepmc.org/article/MED/29206104
240,Q2996394,multicellular organism development,biological process,Q14645705,https://europepmc.org/article/MED/29206104
241,Q2996394,cell development,biological process,Q14859963,https://europepmc.org/article/MED/29206104
242,Q2996394,cell communication,biological process,Q14860133,https://europepmc.org/article/MED/29206104
243,Q2996394,T cell activation,biological process,Q14863969,https://europepmc.org/article/MED/29206104
244,Q2996394,histone modification,biological process,Q14911658,https://europepmc.org/article/MED/29206104
245,,example,,Q14944328,https://europepmc.org/article/MED/29206104
246,,data curation,,Q15088675,https://europepmc.org/article/MED/29206104
247,Q28640,medical researcher,profession,Q15401884,https://europepmc.org/article/MED/29206104
248,Q16521,Homo sapiens,taxon,Q15978631,https://europepmc.org/article/MED/29206104
249,,dimensionality reduction,,Q16000077,https://europepmc.org/article/MED/29206104
250,Q151885,importance,concept,Q16886469,https://europepmc.org/article/MED/29206104
251,Q192276,importance,measure,Q16886469,https://europepmc.org/article/MED/29206104
252,,Mass cytometry,,Q17051163,https://europepmc.org/article/MED/29206104
253,Q3247516,cell sorting,laboratory technique,Q17113277,https://europepmc.org/article/MED/29206104
254,Q7187,CIC,gene,Q18036946,https://europepmc.org/article/MED/29206104
255,Q7187,IL23R,gene,Q18051880,https://europepmc.org/article/MED/29206104
256,Q8366,t-Distributed Stochastic Neighbor Embedding,algorithm,Q18387205,https://europepmc.org/article/MED/29206104
257,Q26879200,single-cell RNA-seq,biochemistry method,Q18409577,https://europepmc.org/article/MED/29206104
258,,contributing factor,,Q18603648,https://europepmc.org/article/MED/29206104
259,Q171318,lineal descendant,kinship,Q19671714,https://europepmc.org/article/MED/29206104
260,,human life,,Q19771042,https://europepmc.org/article/MED/29206104
261,Q196294,Creative Commons Attribution 4.0 International,free license,Q20007257,https://europepmc.org/article/MED/29206104
262,Q284742,Creative Commons Attribution 4.0 International,Creative Commons license,Q20007257,https://europepmc.org/article/MED/29206104
263,Q30939938,Creative Commons Attribution 4.0 International,Open Definition conformant license,Q20007257,https://europepmc.org/article/MED/29206104
264,,protein staining,,Q20180697,https://europepmc.org/article/MED/29206104
265,,inquiry,,Q21004260,https://europepmc.org/article/MED/29206104
266,,timing,,Q21013308,https://europepmc.org/article/MED/29206104
267,,assignment,,Q21014657,https://europepmc.org/article/MED/29206104
268,,solution,,Q21075690,https://europepmc.org/article/MED/29206104
269,Q2996394,cellular response to stimulus,biological process,Q21108563,https://europepmc.org/article/MED/29206104
270,,possibility,,Q21170479,https://europepmc.org/article/MED/29206104
271,Q1207505,utility,quality,Q21263262,https://europepmc.org/article/MED/29206104
272,,rarity,,Q21264361,https://europepmc.org/article/MED/29206104
273,,lifetime,,Q22675021,https://europepmc.org/article/MED/29206104
274,Q1914636,storage,activity,Q23656961,https://europepmc.org/article/MED/29206104
275,,uselessness,,Q24238147,https://europepmc.org/article/MED/29206104
276,,healthy,,Q24238419,https://europepmc.org/article/MED/29206104
277,,small,,Q24245823,https://europepmc.org/article/MED/29206104
278,Q483247,phenotype,phenomenon,Q25203551,https://europepmc.org/article/MED/29206104
279,,set,,Q28813620,https://europepmc.org/article/MED/29206104
280,,signaling pathway,,Q28864300,https://europepmc.org/article/MED/29206104
281,Q28598684,transcriptomics,branch of biology,Q28946449,https://europepmc.org/article/MED/29206104
282,,similarity measure,,Q29017317,https://europepmc.org/article/MED/29206104
283,,projection,,Q29457028,https://europepmc.org/article/MED/29206104
284,,blood sample,,Q30088088,https://europepmc.org/article/MED/29206104
285,,discontinuity,,Q36963847,https://europepmc.org/article/MED/29206104
286,,rediscovery,,Q38131096,https://europepmc.org/article/MED/29206104
287,,animal development,,Q41805950,https://europepmc.org/article/MED/29206104
288,Q189118,nucleated cell,cell type,Q47088881,https://europepmc.org/article/MED/29206104
289,,cellular microenvironment,,Q48970439,https://europepmc.org/article/MED/29206104
290,,low grade glioma,,Q55789758,https://europepmc.org/article/MED/29206104
291,Q1128340,clinical study,index term,Q58902670,https://europepmc.org/article/MED/29206104
292,Q100212002,desirability,subjective quality,Q60617645,https://europepmc.org/article/MED/29206104
293,,granularity,,Q60982119,https://europepmc.org/article/MED/29206104
294,,Spatial resolution,,Q65122117,https://europepmc.org/article/MED/29206104
295,Q64861,coincidence,transitive relation,Q65560351,https://europepmc.org/article/MED/29206104
296,Q130901,coincidence,binary relation,Q65560351,https://europepmc.org/article/MED/29206104
297,Q483247,coincidence,phenomenon,Q65560351,https://europepmc.org/article/MED/29206104
298,Q33104279,coincidence,philosophical concept,Q65560351,https://europepmc.org/article/MED/29206104
299,Q189118,skeletal muscle cell,cell type,Q66505052,https://europepmc.org/article/MED/29206104
300,Q189118,neural cell,cell type,Q66568342,https://europepmc.org/article/MED/29206104
301,,synthetic dye,,Q66732478,https://europepmc.org/article/MED/29206104
302,Q26269989,easy,degree of difficulty,Q66741638,https://europepmc.org/article/MED/29206104
303,Q189118,Th2 cells,cell type,Q67101694,https://europepmc.org/article/MED/29206104
304,,process,,Q67518233,https://europepmc.org/article/MED/29206104
305,Q189118,retinal neurons,cell type,Q70188529,https://europepmc.org/article/MED/29206104
306,Q4164871,master,position,Q76771889,https://europepmc.org/article/MED/29206104
307,,differentiated cell type,,Q87410536,https://europepmc.org/article/MED/29206104
308,Q13442814,Single-cell data-driven mathematical model reveals possible molecular mechanisms of embryonic stem-cell differentiation,scholarly article,Q93200767,https://europepmc.org/article/MED/29206104
309,Q47728,citizen scientist,hobby,Q96061710,https://europepmc.org/article/MED/29206104
310,,video,,Q98069877,https://europepmc.org/article/MED/29206104
311,,Hype (marketing),,Q103424036,https://europepmc.org/article/MED/29206104
312,Q13442814,The Human Cell Atlas White Paper,scholarly article,Q104450645,https://europepmc.org/article/MED/29206104
313,,cell atlas,,Q104450703,https://europepmc.org/article/MED/29206104
314,Q103914748,human tissue,anatomical structure class type,Q104477362,https://europepmc.org/article/MED/29206104
315,,human disease,,Q104477483,https://europepmc.org/article/MED/29206104
316,,gene expression profile,,Q104514053,https://europepmc.org/article/MED/29206104
317,Q2996394,cell-cell communication,biological process,Q104519408,https://europepmc.org/article/MED/29206104
318,Q19478619,cell state,metaclass,Q104539563,https://europepmc.org/article/MED/29206104
319,,cell dissociation,,Q104539569,https://europepmc.org/article/MED/29206104
320,,cell fate,,Q104667117,https://europepmc.org/article/MED/29206104
321,,imaging mass cytometry,,Q104717214,https://europepmc.org/article/MED/29206104
322,Q2996394,RNA expression,biological process,Q104767501,https://europepmc.org/article/MED/29206104
323,,benchmark dataset,,Q104819290,https://europepmc.org/article/MED/29206104
324,,Q104819407,,Q104819407,https://europepmc.org/article/MED/29206104
325,,rare cell type,,Q104819423,https://europepmc.org/article/MED/29206104
326,,sequencing depth,,Q104925563,https://europepmc.org/article/MED/29206104
327,,Q104925870,,Q104925870,https://europepmc.org/article/MED/29206104
328,,MERFISH,,Q105047826,https://europepmc.org/article/MED/29206104
329,,Q105047832,,Q105047832,https://europepmc.org/article/MED/29206104
330,Q3249551,unsupervised clustering,process,Q105106879,https://europepmc.org/article/MED/29206104
331,,Q105394060,,Q105394060,https://europepmc.org/article/MED/29206104
332,,single cell transcriptomics,,Q105406038,https://europepmc.org/article/MED/29206104
333,,light microscopy,,Q105426851,https://europepmc.org/article/MED/29206104
334,Q80061,1906 Nobel Prize in Physiology or Medicine,Nobel Prize in Physiology or Medicine,Q105426864,https://europepmc.org/article/MED/29206104
335,,Q105426942,,Q105426942,https://europepmc.org/article/MED/29206104
336,,Q105426946,,Q105426946,https://europepmc.org/article/MED/29206104
337,,Q105445761,,Q105445761,https://europepmc.org/article/MED/29206104
338,,Q105459661,,Q105459661,https://europepmc.org/article/MED/29206104
339,,spread,,Q105460363,https://europepmc.org/article/MED/29206104
340,Q19478619,mRNA species,metaclass,Q105495043,https://europepmc.org/article/MED/29206104
341,,multi-well plate,,Q105495483,https://europepmc.org/article/MED/29206104
342,,Q105495578,,Q105495578,https://europepmc.org/article/MED/29206104
343,,fixed sample,,Q105495613,https://europepmc.org/article/MED/29206104
344,,live cell,,Q105495647,https://europepmc.org/article/MED/29206104
345,,natural cellular microenvironment,,Q105495656,https://europepmc.org/article/MED/29206104
346,Q2695280,transcriptome in vivo analysis,technique,Q105495662,https://europepmc.org/article/MED/29206104
347,,Q105517113,,Q105517113,https://europepmc.org/article/MED/29206104
348,,single-cell DNAme-Seq,,Q105517602,https://europepmc.org/article/MED/29206104
349,,combinatorial barcoding,,Q105517743,https://europepmc.org/article/MED/29206104
350,,single-cell analysis of chromatin organization,,Q105517985,https://europepmc.org/article/MED/29206104
351,,Q105530577,,Q105530577,https://europepmc.org/article/MED/29206104
352,,in situ analysis,,Q105530602,https://europepmc.org/article/MED/29206104
353,Q104852483,dissociated cell,cell class,Q105530752,https://europepmc.org/article/MED/29206104
354,,RNA detection,,Q105530794,https://europepmc.org/article/MED/29206104
355,,in situ transcription,,Q105546851,https://europepmc.org/article/MED/29206104
356,,preserved tissue,,Q105547536,https://europepmc.org/article/MED/29206104
357,,tissue sample expansion,,Q105547563,https://europepmc.org/article/MED/29206104
358,,CRISPR-based genome editing,,Q105575943,https://europepmc.org/article/MED/29206104
359,,scar,,Q105575949,https://europepmc.org/article/MED/29206104
360,,adult animal,,Q105575964,https://europepmc.org/article/MED/29206104
361,,Q105575977,,Q105575977,https://europepmc.org/article/MED/29206104
362,,international meeting,,Q105592411,https://europepmc.org/article/MED/29206104
363,,Q105592440,,Q105592440,https://europepmc.org/article/MED/29206104
364,,organismal development,,Q105606641,https://europepmc.org/article/MED/29206104
365,,fundamental process,,Q105623731,https://europepmc.org/article/MED/29206104
366,,Q105627832,,Q105627832,https://europepmc.org/article/MED/29206104
367,,human protein-coding gene,,Q105627834,https://europepmc.org/article/MED/29206104
368,,experimental toolbox,,Q105660693,https://europepmc.org/article/MED/29206104
369,,clinical application,,Q105688746,https://europepmc.org/article/MED/29206104
370,,technology development,,Q105688765,https://europepmc.org/article/MED/29206104
